chirp,ID,chDur,carrier_freq,temp,mean_temp,temp_diff,chDur_decrease,carrier_increase,chDur_target,carrier_target,time_scale_factor,freq_scale_factor
RBB11_223,RBB,6464.0,5921.630859375,27.8,28.6,0.8000000000000007,106.87600000000008,53.240000000000045,6357.124,5974.870859375,0.9834659653465346,1.0089907664399094
RBB11_226,RBB,6399.0,5641.69921875,27.8,28.6,0.8000000000000007,106.87600000000008,53.240000000000045,6292.124,5694.93921875,0.9832980153148928,1.0094368731716603
RBB11_227,RBB,6400.0,5749.365234375,27.8,28.6,0.8000000000000007,106.87600000000008,53.240000000000045,6293.124,5802.605234375,0.983300625,1.0092601527002811
RBB11_228,RBB,6397.0,5878.564453125,27.8,28.6,0.8000000000000007,106.87600000000008,53.240000000000045,6290.124,5931.804453125,0.9832927934969516,1.0090566328607145
RBB11_229,RBB,6533.0,5620.166015625,27.8,28.6,0.8000000000000007,106.87600000000008,53.240000000000045,6426.124,5673.406015625,0.9836405939078524,1.0094730297738508
RBB11_230,RBB,6552.0,5835.498046875,27.8,28.6,0.8000000000000007,106.87600000000008,53.240000000000045,6445.124,5888.738046875,0.9836880341880342,1.009123471479613
RBB11_232,RBB,6443.0,5598.6328125,27.8,28.6,0.8000000000000007,106.87600000000008,53.240000000000045,6336.124,5651.8728125,0.9834120751202856,1.00950946450375
RBB11_233,RBB,6435.0,5684.765625,27.8,28.6,0.8000000000000007,106.87600000000008,53.240000000000045,6328.124,5738.005625,0.9833914529914528,1.0093653817082389
RBB11_234,RBB,6574.0,5577.099609375,27.8,28.6,0.8000000000000007,106.87600000000008,53.240000000000045,6467.124,5630.339609375,0.983742622452084,1.0095461805829151
RBB11_235,RBB,6552.0,5641.69921875,27.8,28.6,0.8000000000000007,106.87600000000008,53.240000000000045,6445.124,5694.93921875,0.9836880341880342,1.0094368731716603
RBB11_236,RBB,6364.0,5641.69921875,27.8,28.6,0.8000000000000007,106.87600000000008,53.240000000000045,6257.124,5694.93921875,0.98320615964802,1.0094368731716603
RBB11_237,RBB,6584.0,5577.099609375,27.8,28.6,0.8000000000000007,106.87600000000008,53.240000000000045,6477.124,5630.339609375,0.9837673147023086,1.0095461805829151
RBB11_238,RBB,6542.0,5749.365234375,27.8,28.6,0.8000000000000007,106.87600000000008,53.240000000000045,6435.124,5802.605234375,0.9836630999694282,1.0092601527002811
RBB11_239,RBB,6467.0,5663.232421875,27.8,28.6,0.8000000000000007,106.87600000000008,53.240000000000045,6360.124,5716.472421875,0.9834736353796196,1.00940099152462
RBB11_240,RBB,6506.0,5749.365234375,27.8,28.6,0.8000000000000007,106.87600000000008,53.240000000000045,6399.124,5802.605234375,0.9835727021211188,1.0092601527002811
LPL31_13,LPL,6351.0,5835.498046875,28.1,28.6,0.5,66.7975,33.275,6284.2025,5868.773046875,0.9894823649818928,1.005702169674758
LPL31_18,LPL,6299.0,5857.03125,28.1,28.6,0.5,66.7975,33.275,6232.2025,5890.30625,0.9893955389744404,1.0056812058156597
LPL31_21,LPL,6132.0,5857.03125,28.1,28.6,0.5,66.7975,33.275,6065.2025,5890.30625,0.9891067351598174,1.0056812058156597
LPL31_24,LPL,6078.0,5835.498046875,28.1,28.6,0.5,66.7975,33.275,6011.2025,5868.773046875,0.9890099539322146,1.005702169674758
LPL31_26,LPL,6109.0,5900.09765625,28.1,28.6,0.5,66.7975,33.275,6042.2025,5933.37265625,0.989065722704207,1.0056397371600707
LPL31_28,LPL,6279.0,5878.564453125,28.1,28.6,0.5,66.7975,33.275,6212.2025,5911.839453125,0.9893617614269788,1.0056603955379464
LPL31_30,LPL,6243.0,5878.564453125,28.1,28.6,0.5,66.7975,33.275,6176.2025,5911.839453125,0.9893004164664424,1.0056603955379464
LPL31_31,LPL,6315.0,5663.232421875,28.1,28.6,0.5,66.7975,33.275,6248.2025,5696.507421875,0.9894224069675376,1.0058756197028875
LPL31_33,LPL,5982.0,5857.03125,28.1,28.6,0.5,66.7975,33.275,5915.2025,5890.30625,0.9888335840855902,1.0056812058156597
LPL31_34,LPL,6378.0,5512.5,28.1,28.6,0.5,66.7975,33.275,6311.2025,5545.775,0.9895268893069928,1.0060362811791383
LPL31_36,LPL,6126.0,5835.498046875,28.1,28.6,0.5,66.7975,33.275,6059.2025,5868.773046875,0.9890960659484166,1.005702169674758
LPL31_38,LPL,6331.0,5878.564453125,28.1,28.6,0.5,66.7975,33.275,6264.2025,5911.839453125,0.9894491391565314,1.0056603955379464
LPL31_40,LPL,6078.0,5835.498046875,28.1,28.6,0.5,66.7975,33.275,6011.2025,5868.773046875,0.9890099539322146,1.005702169674758
LPL31_41,LPL,6373.0,5426.3671875,28.1,28.6,0.5,66.7975,33.275,6306.2025,5459.6421875,0.9895186725247136,1.0061320951661088
LPL31_42,LPL,6069.0,5663.232421875,28.1,28.6,0.5,66.7975,33.275,6002.2025,5696.507421875,0.988993656286044,1.0058756197028875
LPL31_44,LPL,6364.0,5641.69921875,28.1,28.6,0.5,66.7975,33.275,6297.2025,5674.97421875,0.9895038497800126,1.0058980457322877
LPL31_45,LPL,6252.0,5684.765625,28.1,28.6,0.5,66.7975,33.275,6185.2025,5718.040625,0.98931581893794,1.0058533635676492
LPL31_46,LPL,5939.0,5490.966796875,28.1,28.6,0.5,66.7975,33.275,5872.2025,5524.241796875,0.9887527361508672,1.006059952870037
LPL31_48,LPL,6141.0,5900.09765625,28.1,28.6,0.5,66.7975,33.275,6074.2025,5933.37265625,0.989122699886012,1.0056397371600707
