chirp,ID,chDur,carrier_freq,temp
LPL11_350,LPL,5151.0,5921.630859375,32.2
LPL11_351,LPL,4898.0,5878.564453125,32.2
LPL11_352,LPL,5100.0,5663.232421875,32.2
LPL11_355,LPL,5218.0,5921.630859375,32.2
LPL11_359,LPL,4967.0,5749.365234375,32.2
LPL11_360,LPL,4889.0,5878.564453125,32.2
LPL11_362,LPL,5575.0,6136.962890625,32.2
LPL11_374,LPL,5584.0,5706.298828125,32.2
LPL11_376,LPL,5214.0,5835.498046875,32.2
LPL11_377,LPL,5426.0,5813.96484375,32.2
LPL11_378,LPL,5774.0,5857.03125,32.2
LPL11_380,LPL,5450.0,5770.8984375,32.2
LPL11_381,LPL,5445.0,5770.8984375,32.2
LPL11_382,LPL,5418.0,5706.298828125,32.2
LPL11_383,LPL,5479.0,5878.564453125,32.2
LPL11_384,LPL,5081.0,5620.166015625,32.2
LPL11_385,LPL,5477.0,5835.498046875,32.2
LPL11_386,LPL,4942.0,5663.232421875,32.2
LPL11_387,LPL,5614.0,5792.431640625,32.2
LPL11_389,LPL,4977.0,5620.166015625,32.2
LPL11_390,LPL,5501.0,5813.96484375,32.2
LPL11_392,LPL,5005.0,5663.232421875,32.2
LPL11_393,LPL,5019.0,5835.498046875,32.2
LPL11_394,LPL,5014.0,5900.09765625,32.2
LPL11_397,LPL,4861.0,5792.431640625,32.2
LPL11_398,LPL,4874.0,5727.83203125,32.2
LPL11_400,LPL,5515.0,5770.8984375,32.2
LPL11_401,LPL,4827.0,5857.03125,32.2
LPL11_402,LPL,5422.0,5857.03125,32.2
LPL11_403,LPL,5276.0,5641.69921875,32.2
LPL11_404,LPL,5493.0,5749.365234375,32.2
LPL11_409,LPL,5099.0,5813.96484375,32.2
LPL11_410,LPL,5180.0,5792.431640625,32.2
BKB21_14,BKB,5785.0,6007.763671875,29.1
BKB21_18,BKB,5763.0,6309.228515625,29.1
BKB21_76,BKB,5891.0,6266.162109375,29.1
BKB21_128,BKB,5808.0,5964.697265625,29.1
BKB21_170,BKB,5658.0,5986.23046875,29.1
BKB21_176,BKB,5907.0,6309.228515625,29.1
BKB21_182,BKB,5867.0,6007.763671875,29.1
BKB21_275,BKB,6180.0,5921.630859375,29.1
BKB21_340,BKB,5810.0,5964.697265625,29.1
BKB21_366,BKB,5700.0,6029.296875,29.1
BKB21_372,BKB,5785.0,5900.09765625,29.1
BKB21_430,BKB,5981.0,6007.763671875,29.1
BKB21_459,BKB,5787.0,6287.6953125,29.1
BKB21_482,BKB,5778.0,5964.697265625,29.1
BKB21_496,BKB,5963.0,5943.1640625,29.1
BKB21_498,BKB,5799.0,5964.697265625,29.1
BKB21_500,BKB,5765.0,5964.697265625,29.1
BKB21_502,BKB,5775.0,5943.1640625,29.1
BKB21_504,BKB,5739.0,6007.763671875,29.1
BKB21_508,BKB,5780.0,5900.09765625,29.1
BKB21_520,BKB,6080.0,5921.630859375,29.1
BKB21_543,BKB,7167.0,5986.23046875,29.1
RBB11_0,RBB,6479.0,5684.765625,27.8
RBB11_1,RBB,6382.0,5684.765625,27.8
RBB11_2,RBB,6767.0,5663.232421875,27.8
RBB11_3,RBB,6531.0,5598.6328125,27.8
RBB11_4,RBB,6435.0,5684.765625,27.8
RBB11_5,RBB,6566.0,5684.765625,27.8
RBB11_6,RBB,6478.0,5749.365234375,27.8
RBB11_8,RBB,6459.0,5706.298828125,27.8
RBB11_9,RBB,6551.0,5706.298828125,27.8
RBB11_10,RBB,6462.0,5727.83203125,27.8
RBB11_11,RBB,6462.0,5770.8984375,27.8
RBB11_13,RBB,6447.0,5706.298828125,27.8
RBB11_15,RBB,6431.0,5706.298828125,27.8
RBB11_16,RBB,6517.0,5663.232421875,27.8
RBB11_17,RBB,6594.0,5727.83203125,27.8
RBB11_18,RBB,6520.0,5706.298828125,27.8
RBB11_19,RBB,6449.0,5706.298828125,27.8
RBB11_23,RBB,6491.0,5706.298828125,27.8
RBB11_24,RBB,6591.0,5663.232421875,27.8
RBB11_26,RBB,6183.0,5727.83203125,27.8
RBB11_27,RBB,6544.0,5684.765625,27.8
RBB11_28,RBB,6514.0,5770.8984375,27.8
RBB11_29,RBB,6578.0,5684.765625,27.8
RBB11_30,RBB,6526.0,5663.232421875,27.8
RBB11_31,RBB,6412.0,5770.8984375,27.8
RBB11_32,RBB,6439.0,5727.83203125,27.8
RBB11_33,RBB,6484.0,5663.232421875,27.8
RBB11_34,RBB,6448.0,5684.765625,27.8
RBB11_35,RBB,6449.0,5663.232421875,27.8
RBB11_37,RBB,6507.0,5727.83203125,27.8
RBB11_39,RBB,6433.0,5727.83203125,27.8
RBB11_40,RBB,6547.0,5727.83203125,27.8
RBB11_42,RBB,6408.0,5684.765625,27.8
RBB11_43,RBB,6504.0,5749.365234375,27.8
RBB11_44,RBB,6513.0,5684.765625,27.8
RBB11_45,RBB,6582.0,5792.431640625,27.8
RBB11_46,RBB,6465.0,5706.298828125,27.8
RBB11_49,RBB,6409.0,5469.43359375,27.8
RBB11_50,RBB,6556.0,5490.966796875,27.8
RBB11_51,RBB,6392.0,5490.966796875,27.8
RBB11_53,RBB,6505.0,5555.56640625,27.8
RBB11_54,RBB,6504.0,5512.5,27.8
RBB11_55,RBB,6589.0,5512.5,27.8
RBB11_56,RBB,6536.0,5577.099609375,27.8
RBB11_57,RBB,6417.0,5534.033203125,27.8
RBB11_58,RBB,6520.0,5663.232421875,27.8
RBB11_59,RBB,6551.0,5663.232421875,27.8
RBB11_60,RBB,6387.0,5727.83203125,27.8
RBB11_61,RBB,6554.0,5663.232421875,27.8
RBB11_62,RBB,6584.0,5749.365234375,27.8
RBB11_63,RBB,6387.0,5577.099609375,27.8
RBB11_64,RBB,6330.0,5684.765625,27.8
RBB11_67,RBB,6407.0,5706.298828125,27.8
RBB11_68,RBB,6646.0,5706.298828125,27.8
RBB11_69,RBB,6505.0,5663.232421875,27.8
RBB11_71,RBB,6512.0,5706.298828125,27.8
RBB11_72,RBB,6452.0,5749.365234375,27.8
RBB11_73,RBB,6534.0,5706.298828125,27.8
RBB11_74,RBB,6420.0,5727.83203125,27.8
RBB11_78,RBB,6509.0,5684.765625,27.8
RBB11_80,RBB,6278.0,5727.83203125,27.8
RBB11_81,RBB,6455.0,5684.765625,27.8
RBB11_82,RBB,6421.0,5684.765625,27.8
RBB11_83,RBB,6406.0,5749.365234375,27.8
RBB11_84,RBB,6584.0,5706.298828125,27.8
RBB11_86,RBB,6551.0,5706.298828125,27.8
RBB11_87,RBB,6402.0,5727.83203125,27.8
RBB11_89,RBB,6389.0,5727.83203125,27.8
RBB11_90,RBB,6459.0,5770.8984375,27.8
RBB11_91,RBB,6774.0,5663.232421875,27.8
RBB11_94,RBB,6384.0,5663.232421875,27.8
RBB11_95,RBB,6494.0,5878.564453125,27.8
RBB11_96,RBB,6488.0,5770.8984375,27.8
RBB11_100,RBB,6493.0,5792.431640625,27.8
RBB11_101,RBB,6497.0,5770.8984375,27.8
RBB11_104,RBB,6432.0,5641.69921875,27.8
RBB11_105,RBB,6524.0,5706.298828125,27.8
RBB11_106,RBB,6524.0,5684.765625,27.8
RBB11_108,RBB,6418.0,5684.765625,27.8
RBB11_111,RBB,6433.0,5641.69921875,27.8
RBB11_115,RBB,6485.0,5770.8984375,27.8
RBB11_118,RBB,6485.0,5792.431640625,27.8
RBB11_119,RBB,6421.0,5900.09765625,27.8
RBB11_120,RBB,6463.0,5727.83203125,27.8
RBB11_121,RBB,6504.0,5770.8984375,27.8
RBB11_122,RBB,6403.0,5857.03125,27.8
RBB11_123,RBB,6540.0,5641.69921875,27.8
RBB11_124,RBB,6503.0,5727.83203125,27.8
RBB11_125,RBB,6523.0,5792.431640625,27.8
RBB11_126,RBB,6422.0,5663.232421875,27.8
RBB11_128,RBB,6438.0,5663.232421875,27.8
RBB11_129,RBB,6441.0,5727.83203125,27.8
RBB11_132,RBB,6495.0,5684.765625,27.8
RBB11_133,RBB,6570.0,5684.765625,27.8
RBB11_134,RBB,6413.0,5620.166015625,27.8
RBB11_135,RBB,6465.0,5706.298828125,27.8
RBB11_138,RBB,6647.0,5706.298828125,27.8
RBB11_139,RBB,6418.0,5900.09765625,27.8
RBB11_140,RBB,6444.0,5921.630859375,27.8
RBB11_141,RBB,6398.0,5706.298828125,27.8
RBB11_145,RBB,6513.0,5813.96484375,27.8
RBB11_146,RBB,6503.0,5706.298828125,27.8
RBB11_151,RBB,6501.0,5684.765625,27.8
RBB11_152,RBB,6462.0,5641.69921875,27.8
RBB11_153,RBB,6485.0,5641.69921875,27.8
RBB11_154,RBB,6457.0,5663.232421875,27.8
RBB11_155,RBB,6378.0,5641.69921875,27.8
RBB11_157,RBB,6507.0,5878.564453125,27.8
RBB11_158,RBB,6454.0,5857.03125,27.8
RBB11_159,RBB,6451.0,5684.765625,27.8
RBB11_160,RBB,6592.0,5663.232421875,27.8
RBB11_161,RBB,6599.0,5684.765625,27.8
RBB11_162,RBB,6634.0,5641.69921875,27.8
RBB11_163,RBB,6416.0,5857.03125,27.8
RBB11_164,RBB,6484.0,5663.232421875,27.8
RBB11_165,RBB,6564.0,5641.69921875,27.8
RBB11_167,RBB,6446.0,5663.232421875,27.8
RBB11_168,RBB,6492.0,5684.765625,27.8
RBB11_169,RBB,6354.0,5921.630859375,27.8
RBB11_170,RBB,6517.0,5598.6328125,27.8
RBB11_171,RBB,6382.0,5878.564453125,27.8
RBB11_172,RBB,6415.0,5641.69921875,27.8
RBB11_173,RBB,6522.0,5727.83203125,27.8
RBB11_174,RBB,6443.0,5663.232421875,27.8
RBB11_175,RBB,6549.0,5900.09765625,27.8
RBB11_176,RBB,6467.0,5663.232421875,27.8
RBB11_177,RBB,6513.0,5706.298828125,27.8
RBB11_178,RBB,6370.0,5663.232421875,27.8
RBB11_179,RBB,6585.0,5663.232421875,27.8
RBB11_182,RBB,6575.0,5706.298828125,27.8
RBB11_183,RBB,6375.0,5641.69921875,27.8
RBB11_184,RBB,6598.0,5641.69921875,27.8
RBB11_185,RBB,6532.0,5663.232421875,27.8
RBB11_186,RBB,6368.0,5727.83203125,27.8
RBB11_187,RBB,6506.0,5663.232421875,27.8
RBB11_190,RBB,6335.0,5684.765625,27.8
RBB11_191,RBB,6467.0,5663.232421875,27.8
RBB11_192,RBB,6442.0,5727.83203125,27.8
RBB11_193,RBB,6308.0,5641.69921875,27.8
RBB11_194,RBB,6509.0,5749.365234375,27.8
RBB11_195,RBB,6498.0,5620.166015625,27.8
RBB11_196,RBB,6671.0,5641.69921875,27.8
RBB11_197,RBB,6659.0,5620.166015625,27.8
RBB11_198,RBB,6447.0,5857.03125,27.8
RBB11_199,RBB,6357.0,5620.166015625,27.8
RBB11_200,RBB,6587.0,5706.298828125,27.8
RBB11_201,RBB,6413.0,5706.298828125,27.8
RBB11_202,RBB,6310.0,5727.83203125,27.8
RBB11_203,RBB,6511.0,5921.630859375,27.8
RBB11_204,RBB,6523.0,5986.23046875,27.8
RBB11_205,RBB,6421.0,5792.431640625,27.8
RBB11_206,RBB,6402.0,5641.69921875,27.8
RBB11_209,RBB,6442.0,5749.365234375,27.8
RBB11_210,RBB,6511.0,5641.69921875,27.8
RBB11_211,RBB,6509.0,5684.765625,27.8
RBB11_212,RBB,6540.0,5727.83203125,27.8
RBB11_213,RBB,6546.0,5620.166015625,27.8
RBB11_215,RBB,6344.0,5900.09765625,27.8
RBB11_218,RBB,6507.0,5663.232421875,27.8
RBB11_219,RBB,6483.0,5727.83203125,27.8
RBB11_220,RBB,6405.0,5684.765625,27.8
RBB11_221,RBB,6446.0,5749.365234375,27.8
RBB11_222,RBB,6553.0,5641.69921875,27.8
RBB11_223,RBB,6464.0,5921.630859375,27.8
RBB11_226,RBB,6399.0,5641.69921875,27.8
RBB11_227,RBB,6400.0,5749.365234375,27.8
RBB11_228,RBB,6397.0,5878.564453125,27.8
RBB11_229,RBB,6533.0,5620.166015625,27.8
RBB11_230,RBB,6552.0,5835.498046875,27.8
RBB11_232,RBB,6443.0,5598.6328125,27.8
RBB11_233,RBB,6435.0,5684.765625,27.8
RBB11_234,RBB,6574.0,5577.099609375,27.8
RBB11_235,RBB,6552.0,5641.69921875,27.8
RBB11_236,RBB,6364.0,5641.69921875,27.8
RBB11_237,RBB,6584.0,5577.099609375,27.8
RBB11_238,RBB,6542.0,5749.365234375,27.8
RBB11_239,RBB,6467.0,5663.232421875,27.8
RBB11_240,RBB,6506.0,5749.365234375,27.8
LPL31_13,LPL,6351.0,5835.498046875,28.1
LPL31_18,LPL,6299.0,5857.03125,28.1
LPL31_21,LPL,6132.0,5857.03125,28.1
LPL31_24,LPL,6078.0,5835.498046875,28.1
LPL31_26,LPL,6109.0,5900.09765625,28.1
LPL31_28,LPL,6279.0,5878.564453125,28.1
LPL31_30,LPL,6243.0,5878.564453125,28.1
LPL31_31,LPL,6315.0,5663.232421875,28.1
LPL31_33,LPL,5982.0,5857.03125,28.1
LPL31_34,LPL,6378.0,5512.5,28.1
LPL31_36,LPL,6126.0,5835.498046875,28.1
LPL31_38,LPL,6331.0,5878.564453125,28.1
LPL31_40,LPL,6078.0,5835.498046875,28.1
LPL31_41,LPL,6373.0,5426.3671875,28.1
LPL31_42,LPL,6069.0,5663.232421875,28.1
LPL31_44,LPL,6364.0,5641.69921875,28.1
LPL31_45,LPL,6252.0,5684.765625,28.1
LPL31_46,LPL,5939.0,5490.966796875,28.1
LPL31_48,LPL,6141.0,5900.09765625,28.1
LPL31_50,LPL,6241.0,5878.564453125,28.1
LPL31_51,LPL,6125.0,5878.564453125,28.1
LPL31_53,LPL,6155.0,5878.564453125,28.1
LPL31_55,LPL,6190.0,5900.09765625,28.1
LPL31_57,LPL,6376.0,5878.564453125,28.1
LPL31_59,LPL,5886.0,5490.966796875,28.1
LPL31_61,LPL,6390.0,5878.564453125,28.1
LPL31_63,LPL,6122.0,5878.564453125,28.1
LPL31_64,LPL,5916.0,5490.966796875,28.1
LPL31_65,LPL,5992.0,5878.564453125,28.1
LPL31_67,LPL,6164.0,5663.232421875,28.1
LPL31_68,LPL,6156.0,5641.69921875,28.1
LPL31_69,LPL,6363.0,5684.765625,28.1
LPL31_71,LPL,6383.0,5706.298828125,28.1
LPL31_72,LPL,6098.0,5878.564453125,28.1
